pgm,liver_wt,gallstone_presence,gallstone_score,gallstone_count,gallstone_weight,gallstone_sandy,gallstone_solid,ChMC_agg,ChMC_ind,chol,HDL_log,nonHDL
1,1.6817,1,2,0,0,2,0,2,1,276,2.243,101
1,1.7771,0,0,0,0,0,0,0,0,291,2.307,88
1,1.5542,1,2,2,0.65,2,2,1,0,220,2.025,114
1,1.8169,1,2,0,0,3,0,1,0,319,2.22,153
1,1.8164,0,0,0,0,0,0,0,0,272,2.288,78
1,1.7047,0,0,0,0,0,0,0,0,196,1.839,127
1,1.3696,0,0,0,0,0,0,0,0,218,1.968,125
1,1.6826,1,2,1,0.64,0,2,0,0,198,1.732,144
1,1.516,1,2,0,0,2,0,4,0,668,1.568,631
1,1.485,0,0,0,0,0,0,0,0,157,1.892,79
1,2.482,1,2,0,0,4,0,4,1,346,2.025,240
1,1.6605,-,-,-,-,-,-,-,-,266,2.207,105
1,1.1749,0,0,0,0,0,0,0,0,211,1.74,156
1,1.6906,1,2,0,0,2,0,2,2,184,2.107,56
1,1.3416,1,2,0,0,2,0,3,1,222,2.173,73
1,1.9013,0,0,0,0,0,0,0,0,181,1.914,99
1,1.4279,1,2,0,0,1,0,2,2,212,1.663,167
1,1.1248,0,0,0,0,0,0,0,0,231,2.107,103
1,1.3499,1,2,0,0,1,0,3,1,284,1.857,212
1,1.4543,1,2,0,0,4,0,4,1,172,1.892,94
1,1.4302,1,2,15,3.16,4,4,1,1,246,2.13,111
1,1.3204,1,2,0,0,1,0,2,1,214,1.681,166
1,2.0579,1,2,0,0,2,0,4,2,224,1.892,146
1,1.5029,0,0,0,0,0,0,0,0,246,1.919,163
1,1.1864,1,2,0,0,3,0,4,2,246,2.146,106
1,1.3652,1,2,0,0,2,0,4,0,301,2.045,190
1,1.7022,1,2,0,0,2,0,3,1,406,1.982,310
1,1.1573,1,2,3,0.54,1,4,1,1,306,1.964,214
1,1.3414,1,2,0,0,4,0,4,0,417,1.869,344
1,1.619,1,2,0,0,2,0,3,2,248,2.182,96
1,1.3861,0,0,0,0,0,0,0,0,216,2.188,62
1,1.8066,1,2,0,0,4,0,3,0,193,1.959,102
1,3.1761,1,2,0,0,2,0,3,3,-,1.301,-
1,1.311,1,2,0,0,2,0,4,1,233,2.021,128
1,1.5594,1,2,0,0,4,0,0,1,152,1.833,84
1,2.4877,0,0,0,0,0,0,0,0,343,2.455,58
1,1.0939,1,2,20,0.84,4,4,0,0,204,2.161,59
1,1.6252,0,1,0,0,0,0,2,2,215,2.13,80
1,1.6421,0,0,0,0,0,0,0,0,335,2.248,158
1,2.0416,1,2,0,0,1,0,2,2,207,1.813,142
1,1.2848,1,2,0,0,1,0,4,1,240,2.117,109
1,2.6162,0,0,0,0,0,0,0,0,236,2.225,68
1,1.3676,-,-,-,-,-,-,-,-,303,2.021,198
1,1.4901,1,2,7,1.31,3,4,2,1,293,2.021,188
1,1.6668,1,2,2,0.82,2,4,2,2,198,1.929,113
1,2.1617,0,0,0,0,0,0,0,0,351,2.36,122
1,2.2953,0,1,0,0,0,0,2,1,328,1.857,256
1,1.4751,1,2,0,0,4,0,4,1,185,1.919,102
1,1.2758,1,2,0,0,3,0,4,1,194,1.949,105
1,1.2473,1,2,0,0,2,0,4,1,231,1.813,166
1,1.5877,1,2,5,0.53,4,4,0,1,240,1.954,150
1,1.2433,0,1,0,0,0,0,1,3,307,1.806,243
1,1.2031,1,2,0,0,2,0,1,2,263,1.778,204
1,1.6884,1,0,0,0,0,0,0,0,288,1.982,192
1,1.5171,1,2,10,1.76,4,4,1,0,226,2.201,67
1,2.3236,1,2,1,0.13,3,2,4,1,382,1.964,290
1,1.6354,0,0,0,0,0,0,0,0,494,1.74,439
1,1.8334,1,2,1,0.23,2,2,4,0,325,2,225
1,1.3431,1,2,0,0,2,0,3,3,235,1.447,207
1,1.1509,1,2,0,0,4,0,4,0,137,1.881,61
1,2.5308,1,2,0,0,4,0,1,3,200,1.785,139
1,1.4839,1,2,0,0,4,0,4,1,139,1.813,74
1,1.5953,1,2,2,-,4,1,4,1,328,1.968,235
1,0.9225,1,2,0,0,2,0,3,1,158,1.69,109
1,1.1068,0,0,0,0,0,0,0,0,266,1.892,188
1,1.1083,1,2,5,0.82,1,4,0,1,284,2.017,180
1,1.4191,1,2,7,1.18,1,4,0,0,361,2.207,200
1,1.8088,0,0,0,0,0,0,0,0,209,1.756,152
1,1.4826,1,2,1,0.07,1,1,2,1,409,1.908,329
1,1.6418,1,2,28,1.88,0,4,0,0,361,1.944,274
1,2.8789,1,2,0,0,2,0,4,2,226,1.996,127
1,2.2248,0,0,0,0,0,0,0,0,299,1.519,266
1,1.9108,1,2,0,0,4,0,0,0,508,1.845,438
1,1.9646,0,1,0,0,0,0,2,0,305,1.799,242
1,1.988,-,-,-,-,-,-,-,-,380,2.34,161
1,1.7017,0,0,0,0,0,0,0,0,267,2.017,163
1,1.5897,1,2,0,0,1,0,2,0,261,2.248,84
1,2.2602,1,2,8,0.58,4,3,0,0,310,2.272,123
1,1.8619,0,1,0,0,0,0,4,0,285,1.724,233
1,1.6602,1,2,0,0,1,0,3,1,195,1.991,97
1,1.6359,1,2,8,0.96,0,4,0,0,278,2.037,170
1,1.9964,1,2,0,0,3,0,4,0,205,2.093,81
1,1.7066,0,0,0,0,0,0,0,0,340,2.255,160
1,1.7996,0,0,0,0,0,0,0,0,223,1.833,155
1,1.5148,0,0,0,0,0,0,0,0,311,2.093,187
1,1.6972,1,2,7,0.62,2,3,0,0,306,1.845,236
1,1.5332,1,2,0,0,2,0,3,1,206,1.914,124
1,1.2466,1,2,2,0.47,2,3,1,3,316,2.212,153
1,1.2432,1,2,0,0,2,0,2,0,183,1.708,132
1,1.3195,1,2,0,0,4,0,4,0,357,1.826,291
1,1.5506,1,2,0,0,4,0,4,0,223,1.643,179
1,1.3696,1,2,1,0.11,2,1,3,1,335,2.037,227
1,1.1859,1,2,0,0,4,0,3,0,263,1.959,172
1,1.5049,1,2,0,0,4,0,1,1,286,1.944,199
1,1.7897,0,1,0,0,0,0,2,4,357,2.009,256
1,1.401,1,2,15,2.13,3,4,3,0,204,1.908,124
1,1.3226,0,1,0,0,0,0,2,0,268,1.839,199
1,1.4719,1,2,7,0.65,4,3,3,0,223,1.982,127
1,1.6856,1,2,0,0,1,0,3,1,389,1.845,319
1,1.6717,1,2,0,0,4,0,1,4,144,1.914,62
1,1.4557,1,2,7,0.47,3,3,0,0,210,1.806,146
1,0.9877,1,2,0,0,2,0,2,2,131,1.447,103
1,1.1507,0,0,0,0,0,0,0,0,190,1.991,92
1,1.4776,1,2,1,0.1,4,1,0,0,167,1.708,116
1,1.876,1,2,0,0,2,0,2,0,182,1.778,123
1,1.8745,1,2,5,0.48,1,3,1,1,341,2.025,235
1,1.766,0,0,0,0,0,0,0,0,183,1.839,114
1,1.7736,1,2,9,0.84,4,3,2,4,211,1.724,159
1,1.2656,1,2,0,0,4,0,4,1,240,1.813,175
1,1.8923,1,2,0,0,4,0,4,1,518,2.064,403
1,2.2965,0,1,0,0,0,0,1,0,348,1.929,263
1,1.7377,1,2,0,0,2,0,4,2,268,1.724,216
1,1.112,1,2,0,0,3,0,4,2,245,1.892,167
1,3.2405,1,2,3,0.58,4,4,0,1,265,1.944,178
1,2.8346,1,2,0,0,2,0,2,3,200,1.924,116
1,2.1412,1,2,1,-,3,1,4,2,157,1.826,91
1,1.8962,0,2,7,0.61,0,4,0,2,215,1.875,140
1,1.2263,0,1,0,0,0,0,3,2,213,1.748,157
1,0.9729,-,-,-,-,-,-,-,-,171,1.763,113
1,1.3368,1,2,0,0,4,0,4,1,258,1.785,197
1,1.4539,1,2,0,0,3,0,4,1,159,1.785,98
1,1.5834,0,0,0,0,0,0,0,0,196,1.959,105
1,1.073,1,2,2,0.23,3,1,3,3,325,1.079,313
1,1.5067,1,2,4,0.29,3,2,1,1,454,1.875,379
1,1.297,0,0,0,0,0,0,0,0,252,2.025,146
1,1.5682,1,2,0,0,3,0,3,4,196,1.954,106
1,1.2316,0,0,0,0,0,0,0,0,182,1.978,88
1,1.5566,1,2,0,0,3,0,4,0,187,1.643,143
1,1.2928,1,2,0,0,1,0,0,0,259,1.964,167
1,1.0131,0,0,0,0,0,0,0,0,160,1.839,91
1,1.5138,1,2,5,0.52,0,4,0,0,189,1.724,137
1,1.475,1,2,0,0,1,0,4,3,236,1.568,199
1,1.5651,-,-,-,-,-,-,-,-,186,1.681,138
1,2.2444,0,0,0,0,0,0,0,0,169,1.929,84
1,1.333,0,0,0,0,0,0,0,0,184,1.892,106
1,1.6569,0,0,0,0,0,0,0,0,162,1.881,86
1,1.6115,1,2,0,0,1,0,3,2,244,1.763,186
1,1.5173,0,1,0,0,0,0,1,2,168,1.959,77
1,1.6691,0,1,0,0,0,0,2,1,513,1.806,449
1,1.25,1,2,6,0.23,2,4,0,0,190,1.892,112
1,1.6558,1,2,17,2.34,2,4,4,1,211,1.857,139
1,1.7661,0,0,0,0,0,0,0,0,169,1.982,73
1,1.9156,1,2,0,0,3,0,4,0,218,1.748,162
1,1.1532,1,2,0,0,2,0,4,3,150,1.556,114
1,1.3348,1,2,0,0,3,0,4,3,221,1.898,142
1,1.8763,1,2,0,0,1,3,3,1,213,1.944,126
1,1.3678,0,0,0,0,0,0,0,0,167,1.929,82
1,1.7163,0,0,0,0,0,0,0,0,180,1.929,95
1,1.4742,0,0,0,0,0,0,0,0,228,1.978,134
1,1.7024,0,0,0,0,0,0,0,0,187,1.924,103
1,0.986,0,0,0,0,0,0,0,0,176,1.833,108
1,1.6682,0,0,0,0,0,0,0,0,260,1.732,206
1,1.5233,1,2,1,0.17,2,2,1,0,209,1.857,137
1,1.0612,1,2,0,0,2,0,4,0,193,1.833,125
1,1.4813,1,2,0,0,1,0,3,1,234,1.954,144
1,1.6237,1,2,4,1.24,0,4,0,0,276,1.968,183
1,1.5143,1,2,2,2.39,0,4,1,1,129,1.74,74
1,1.6101,0,0,0,0,0,0,0,0,218,1.778,159
1,1.7445,1,2,6,1.09,4,4,0,0,286,1.869,213
1,1.8561,1,2,0,0,2,0,4,0,196,1.898,117
1,1.5371,0,0,0,0,0,0,0,0,106,1.792,44
1,1.8037,0,0,0,0,0,0,0,0,251,2.182,99
1,1.9722,0,0,0,0,0,0,0,0,195,1.881,119
1,1.2989,0,1,0,0,0,0,1,0,154,1.881,78
1,1.278,-,-,-,-,-,-,-,-,216,1.778,157
1,1.4088,0,0,0,0,0,0,0,0,115,1.799,52
1,1.4407,0,0,0,0,0,0,0,0,185,1.633,142
1,1.5246,0,0,0,0,0,0,0,0,160,2,60
1,1.6072,1,2,3,0.29,2,2,0,0,208,2.029,101
1,1.0791,1,2,0,0,2,0,3,4,209,2.029,102
1,1.4627,0,0,0,0,0,0,0,0,104,1.74,49
1,1.5328,1,2,0,0,4,0,0,0,214,2.013,111
1,1.2405,0,1,0,0,0,0,2,1,280,1.857,208
1,1.1831,1,2,0,0,3,0,4,1,176,1.914,94
1,1.969,0,0,0,0,0,0,0,0,234,1.991,136
1,2.1669,1,2,0,0,2,0,3,1,234,1.991,136
1,2.0639,0,0,0,0,0,0,0,0,209,1.908,129
1,2.2892,1,2,0,0,1,0,3,4,196,1.851,125
1,2.0761,0,0,0,0,0,0,0,0,201,1.908,121
1,1.5478,1,2,0,0,1,0,3,2,267,2.029,160
1,2.91,1,2,0,0,4,0,4,0,226,1.954,136
1,1.8172,0,0,0,0,0,0,0,0,236,2.1,110
1,1.0258,1,2,0,0,4,0,4,0,266,2.072,148
1,1.902,0,0,0,0,0,0,0,0,432,2.104,305
1,1.2855,0,0,0,0,0,0,0,0,323,1.799,260
1,2.3003,0,0,0,0,0,0,0,0,208,2.017,104
1,1.6747,1,2,1,0.03,0,2,0,1,298,1.74,243
1,1.691,1,2,0,0,4,0,3,1,157,1.908,77
1,1.3523,0,0,0,0,0,0,0,0,591,1.663,546
1,1.2669,0,0,0,0,0,0,0,0,141,1.869,68
1,1.4722,0,0,0,0,0,0,0,0,151,1.881,75
1,2.1889,0,1,0,0,0,0,1,1,240,2.137,104
1,2.3565,0,0,0,0,0,0,0,0,165,1.881,89
1,1.3064,0,0,0,0,0,0,0,0,165,1.914,83
1,1.3091,0,1,0,0,0,0,1,0,111,1.724,59
1,1.0893,-,-,-,-,-,-,-,-,327,2.121,195
1,1.2884,1,2,0,0,4,1,4,1,255,2.041,145
1,1.6532,0,1,0,0,0,0,1,1,366,1.996,267
1,1.0888,0,0,0,0,0,0,0,0,261,1.613,220
1,1.0246,1,2,1,0.05,2,1,2,4,183,1.633,140
1,1.5888,1,2,0,0,3,0,4,1,174,1.845,104
1,1.5056,1,2,0,0,4,0,1,1,286,1.964,194
0,1.4539,1,2,0,0,2,0,2,1,217,1.991,119
0,1.2953,1,2,0,0,2,0,3,1,285,1.699,235
0,1.212,0,0,0,0,0,0,0,0,154,1.826,88
0,1.2973,0,0,0,0,0,0,0,0,168,1.959,77
0,1.2417,1,2,0,0,3,0,4,1,228,1.799,165
0,1.507,0,0,0,0,0,0,0,0,253,1.623,211
0,1.3401,1,2,0,0,4,0,2,1,185,1.708,134
0,1.5581,1,2,0,0,3,0,4,1,151,1.833,83
0,1.3298,1,2,0,0,3,0,4,1,209,2.137,73
0,1.9294,1,2,0,0,3,0,3,1,294,1.845,224
0,1.1405,1,2,0,0,1,0,4,1,241,1.851,170
0,2.1445,1,2,6,0.05,4,3,3,3,302,1.633,259
0,1.9834,1,2,4,0.69,1,4,0,1,189,2.037,81
0,1.8066,1,2,0,0,1,0,4,4,206,1.839,137
0,1.5048,0,0,0,0,0,0,0,0,143,1.663,98
0,1.637,1,2,0,0,2,0,3,2,169,2.26,-
0,1.5696,1,2,0,0,3,0,3,1,169,1.799,106
0,1.8732,1,2,0,0,2,0,4,2,223,1.978,129
0,1.15,1,2,3,1.28,4,3,3,0,155,1.892,77
0,1.7034,1,2,1,0.41,0,3,0,0,319,1.591,281
0,1.4515,1,2,4,0.39,0,4,0,0,166,1.881,90
0,1.4917,1,2,1,0.4,2,2,0,0,268,-,-
0,2.5895,0,0,0,0,0,0,0,0,155,1.869,82
0,1.237,1,2,0,0,3,0,3,1,193,1.792,131
0,1.0047,0,1,0,0,0,0,1,1,207,1.881,131
0,1.2649,0,1,0,0,0,0,3,1,245,2.127,111
0,1.2764,1,2,6,0.87,4,4,1,1,163,1.968,70
0,1.8855,1,2,0,0,1,0,4,1,209,2.045,98
0,1.766,1,2,6,0.35,4,4,1,0,311,1.892,233
0,1.3964,1,2,4,0.48,2,4,1,1,135,1.914,53
0,1.5212,1,2,0,0,1,0,3,1,367,1.602,327
0,1.4082,1,2,0,0,2,0,4,1,214,2.152,72
0,1.3346,1,2,0,0,4,0,4,3,239,1.964,147
0,2.026,0,2,2,1.11,0,4,0,0,148,1.881,72
0,1.7508,1,2,0,0,2,0,3,1,237,1.978,143
0,1.6007,1,2,0,0,1,0,2,2,297,1.978,203
0,1.826,1,2,0,0,2,0,3,2,185,1.839,116
0,1.586,1,2,0,0,1,0,3,1,215,1.845,145
0,1.8914,0,0,0,0,0,0,0,0,206,1.892,128
0,1.6904,0,0,0,0,0,0,0,0,211,1.845,141
0,1.0474,0,1,0,0,0,0,1,0,305,1.69,256
0,1.2537,1,2,0,0,1,0,3,0,173,1.839,104
0,2.0619,1,2,2,0.17,0,3,1,1,185,1.806,121
0,2.1153,0,0,0,0,0,0,0,0,223,1.881,147
0,1.8816,0,0,0,0,0,0,0,0,338,1.954,248
0,1.4045,1,2,0,0,2,0,2,1,203,1.886,126
0,1.5229,1,2,1,0.15,4,1,4,1,317,1.845,247
0,1.6118,0,0,0,0,0,0,0,0,405,1.845,335
0,1.6673,1,2,0,0,4,0,4,0,251,1.839,182
0,2.0807,1,2,0,0,3,0,4,1,336,1.978,242
0,1.7945,1,2,0,0,4,0,4,0,598,1.875,523
0,1.8541,1,2,0,0,4,0,4,0,368,1.851,297
0,1.3967,0,0,0,0,0,0,0,0,418,1.914,336
0,2.6528,0,0,0,0,0,0,0,0,394,2.117,263
0,1.5351,1,2,3,0.2,1,2,3,0,520,1.919,437
0,1.003,0,0,0,0,0,0,0,0,242,1.881,166
0,2.7891,0,0,0,0,0,0,0,0,327,2.017,223
0,1.4508,0,0,0,0,0,0,0,0,235,1.813,170
0,3.2153,0,0,0,0,0,0,0,0,397,2.152,255
0,1.3376,1,2,0,0,1,0,2,1,280,1.806,216
0,1.1769,0,0,0,0,0,0,0,0,152,1.699,102
0,1.1327,0,0,0,0,0,0,0,0,223,1.69,174
0,1.2273,0,0,0,0,0,0,0,0,185,1.851,114
0,1.5855,1,2,0,0,4,0,0,0,239,1.959,148
0,1.656,0,0,0,0,0,0,0,0,242,1.792,180
0,1.2708,0,0,0,0,0,0,0,0,142,1.544,107
0,1.8134,0,1,0,0,0,0,2,1,233,1.914,151
